題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明,
A01,下列何者最適合訓練電腦下圍棋、自動駕駛等動態重複地互動的問題?,監督式學習 Supervised Learning),非監督式學習(Unsupervised Learning),半監督式學習(Semi-supervised Learning),強化學習(Reinforcement Learning),4,"強化學習透過與環境互動並根據獎勵調整策略,適用於動態決策問題。",
A02,"關於AI的定義,下列敘述何者較為正確?",AI僅限於深度學習技術,"AI包括各種技術,例如機器學習、專家系統等",AI系統只能在學術研究中應用,AI無法應用於金融領域,2,"人工智慧是一個廣泛的領域,包含多種技術。",
A03,"為了提升 AI系統的透明性,下列哪種措施是適當的?",不需對外揭露任何有關 AI系統的資訊,規劃透過發布報告、技術文件或網站揭露 AI系統的相關資訊,僅對內部員工進行透明性說明,將所有 AI系統資訊保密,2,揭露 AI系統的相關資訊有助於提升透明性。,
A04,下列何者不適合做為資料分布估計?,直方圖(Histogram),散布圖(Scatter plot),雷達圖(Radar chart),四分位數(Quartile),3,"雷達圖主要用於比較多個維度上的表現,而非呈現單一維度的分布情況。",
A05,"K-Means聚類算法中,K代表什麼?",數據集中特徵的數量,數據集中樣本的數量,所需劃分的群組數量,迭代次數,3,K值代表希望將數據分成的群組數量。,
A06,"深度學習模型中,下列哪一項通常用來降低過擬合問題?",增加訓練數據量,增加模型的複雜度,增加學習率,增加正則化項,4,"增加正則化項可以懲罰複雜模型,降低過擬合風險。",
A07,生成式人工智慧最核心的能力是什麼?,從大量數據中學習,執行複雜的數學計算,生成新的、原創的內容,控制機器人,3,生成新內容是生成式 AI的主要特徵。,
A08,下列哪項技術是生成式 AI發展的重要基礎?,決策樹,神經網路,線性迴歸,貝氏分類,2,深度學習模型(神經網路)是生成式 AI的基石。,
A09,"關於AI,下列敘述何者較為正確?",AI僅限於深度學習技術,"AI包括各種技術,例如機器學習、專家系統等",AI系統只能在學術研究中應用,AI無法應用於金融領域,2,"AI 是一個廣泛領域,包含多種技術及其在各領域的應用。",
A10,"在AI治理中,下列何者是國際合作的重要性?",統一 AI發展標準,避免AI技術的濫用,促進 AI技術的轉移,以上皆是,4,國際合作在 AI 治理中對於標準統一、避免濫用和技術轉移都非常重要。,
A11,"關於K平均法(K-means),下列敘述何者「不」正確?",希望找出 k個互不交集的群集,"不同的起始群集中心,可能會造成不同的分群結果",容易受雜訊與離群值(Outlier)影響其群集中心,可以處理類別型資料,4,K-means 主要用於處理數值型資料。,
A12,"在品質管理中,若一產品的生產過程中標準差顯著偏大,通常意味著什麼?","資料點高度集中,產品質量穩定","生產過程波動大,產品品質不穩定",資料無法反映產品實際狀況,"中位數數值高,品質良率較高",2,"標準差大表示數據分散程度高,產品品質不穩定。",
A13,下列何者「並非」K平均數(k-means)集群法的特點?,原理相對其他集群法較為複雜,"可結合其他方法,使用上較為彈性","在特定情況下,能將集群的任務處理得足夠好",不適合非球形、數據密度變化大或有離群數據的集群問題,1,K-means 原理相對簡單。,
A14,"驗證性資料分析(Confirmatory Data Analysis, CDA)與探索性資料分析(Exploratory Data Analysis, EDA)相比,主要著重於下列哪一項?",對資料進行初步描述和視覺化,驗證先前生成的假設並進行深入挖掘,探索數據中潛在的模式和異常,排除資料中的極端值以提高準確性,2,驗證性資料分析更注重於驗證研究者提出的假設。,
A15,"以下哪種情況下,使用中位數來描述資料的集中趨勢最為合適?","一組考試成績,大部分學生分數集中在80分左右","一組房屋價格數據,其中包含少數豪宅的極端高價","一組產品銷售量數據,每個產品的銷量差異不大","一組學生身高數據,呈現出常態分布",2,"中位數不受極端值影響,適用於資料包含極端值的情況。",
A16,"一組數據中,如果平均數小於中位數,那麼這組數據的分布可能是下列哪一種?",對稱分布,負偏態分布,正偏態分布,無法判斷,2,平均數小於中位數通常表示資料為負偏態分布。,
A17,"當我們進行一次假設檢定,得到的p值為0.03,顯著性水準設定為10.05,以下哪一個敘述是正確的?",我們有97%的信心拒絕虛無假設,我們有95%的信心拒絕虛無假設,我們無法拒絕虛無假設,我們有5%的機率犯型一錯誤,2,"因為p值(0.03) 小於顯著性水準(0.05),所以拒絕虛無假設,表示有(1-0.05)*100%的信心。",
A18,"一組資料中,若平均數大於中位數,則這組資料的分布可能是下列哪一種?",對稱分布,負偏態分布,正偏態分布,無法判斷,3,平均數大於中位數通常表示資料為正偏態分布。,
A19,下列哪一個敘述關於四分位距(IQR)是正確的?,四分位距會受到極端值的影響,四分位距是第三四分位數與第一四分位數的差,"四分位距與平均數一樣,容易受到極端值影響",四分位距代表資料中所有數據的分散程度,3,"四分位距定義為第三四分位數與第一四分位數的差,衡量中間50%數據的範圍,不受極端值影響。",
A20,以下哪一種情況最適合用眾數來描述資料的集中趨勢?,"一組學生身高資料,呈現出常態分布","一組產品銷售量資料,其中一種產品的銷量遠高於其他產品","一組考試成績資料,大部分學生的分數集中在80分左右","一組房屋價格資料,其中包含少數豪宅的極端高價",2,"眾數代表出現頻率最高的數值,當資料中某個數值特別突出時,眾數最能代表集中趨勢。",
A21,機器學習的三個核心要素是什麼?,數據、模型、損失函數,訓練集、測試集、驗證集,特徵工程、優化演算法、正則化,超參數調整、模型選擇、數據處理,1,"機器學習的核心在於使用數據訓練模型,並透過損失函數評估模型性能。",
A22,下列哪一項屬於監督式學習的特點?,數據集中包含標記訊息,僅需探索數據內部的結構,使用代理與環境互動進行學習,不需要驗證集來調整參數,1,監督式學習使用帶有標記的數據進行訓練。,
A23,機器學習模型過擬合的主要原因是什麼?,模型的複雜度不足,模型過度學習數據中的雜訊,使用過於簡單的損失函數,訓練數據樣本過多,3,過擬合是指模型學習了訓練數據中的雜訊。,
A24,交叉驗證的主要目的是什麼?,提高模型的訓練速度,減少模型的過擬合風險,測試模型的容錯能力,驗證數據是否線性可分,3,交叉驗證用於評估模型的泛化能力並降低過擬合。,
A25,機器學習的梯度下降演算法主要用於什麼?,減少模型的計算複雜度,減少數據中的雜訊干擾,優化模型參數以最小化損失函數,增強數據特徵的表示能力,2,梯度下降用於調整模型參數以最小化損失函數。,
A26,線性迴歸模型最適合解決哪種類型的問題?,圖像分類,遊戲策略學習,聚類分析,銷售額預測,2,線性迴歸適用於預測連續數值型輸出。,
A27,決策樹的最大優勢是什麼?,適合大規模數據的訓練,不需要進行數據標準化,具有良好的可解釋性,適用於圖像生成任務,2,決策樹模型易於理解和解釋。,
A28,神經網路與傳統機器學習模型的主要區別是什麼?,神經網路無法處理非線性數據,神經網路透過多層結構學習複雜特徵,神經網路只適用於迴歸問題,神經網路不需要大量數據支持,2,神經網路透過多層結構學習數據的深層特徵。,
A29,下列關於生成對抗網路(GAN)的描述正確的是哪一項?,GAN僅用於分類問題,GAN由生成器和鑑別器組成,GAN的結果始終高度可解釋,GAN不能生成高品質的數據,2,GAN 由生成器和鑑別器兩個網路組成。,
A30,"隨機森林(Random Forest)改進了單一決策樹的缺陷,主要透過什麼方法實現?",使用核函數映射高維空間,集成多棵隨機生成的決策樹並投票,增加模型參數以減少偏差,採用生成模型替代分類器,2,隨機森林透過集成多棵決策樹進行預測。,
A31,下列何者為鑑別式 AI的主要目標?,學習數據的生成過程,生成類似真實數據的新樣本,分類或迴歸數據,創建多樣化的數據分佈,3,鑑別式 AI 專注於分類和迴歸任務。,
A32,下列何者屬於生成式 AI使用之模型?,支援向量機(SVM),邏輯迴歸(Logistic Regression),生成對抗網路(GAN),隨機森林(Random Forest),3,GAN 是生成式 AI的代表模型。,
A33,"關於目前生成式AI的主要應用,不包括下列哪一項?",創建合成數據樣本,模擬數據分佈,分類醫學影像,生成文本,3,分類醫學影像是鑑別式 AI的應用。,
A34,生成對抗網路(GAN)的兩個核心組件是什麼?,編碼器與解碼器,分類器與生成器,生成器與鑑別器,訓練器與推斷器,3,GAN 包含生成器和鑑別器。,
A35,"關於鑑別式 AI,下列敘述何者較為正確?","學習數據的聯合機率P(x,y)",專注於數據的分類或迴歸任務,主要用於生成新數據,適合處理無標記數據,2,鑑別式 AI的主要任務是分類或迴歸。,
A36,"在醫學影像中,生成式AI和鑑別式AI的整合應用主要目的是什麼?",減少標記數據需求,自動生成診斷結論,提高診斷準確性和數據多樣性,完全取代醫生的判斷,3,整合應用旨在提高診斷準確性和數據多樣性。,
A37,下列哪項是生成式 AI支援鑑別式 AI的典型案例?,模擬交通場景以訓練自動駕駛模型,使用 CNN對腫瘤分類,使用SVM分析風險,創建更好的分類演算法,1,生成式 AI 可以生成數據以增強鑑別式AI的訓練。,
A38,下列哪種方法能解決生成式模型的訓練不穩定性問題?,使用更大的數據集,採用 Waserstein GAN (WGAN),提高硬體效能,增加模型層數,2,"WGAN 是一種改進的GAN 模型,有助於穩定訓練過程。",
A39,"在整合應用中,生成式 AI提供的數據增強主要解決了哪個問題?",模型過擬合,數據稀缺或不平衡,訓練過程的時間延遲,數據隱私問題,2,數據增強可以解決數據不足或類別不平衡的問題。,
B01,"關於 No Code與Low Code的基本概念,以下哪一項最為正確?","No Code平台完全不需要任何技術知識,Low Code平台僅適合專業開發者使用","No Code平台主要依靠圖形化介面(UI)進行開發,而Low Code平台結合了簡單程式設計與視覺化工具",No Code與 Low Code平台主要針對傳統 IT團隊而設計,Low Code平台完全不需要程式設計知識,2,"No Code平台核心為圖形化介面,Low Code平台結合視覺化工具與少量程式碼。",
B02,No Code / Low Code技術的主要優勢不包括以下哪一項?,"加速開發流程,降低企業開發成本",幫助非技術人員創建應用和自動化流程,完全消除對專業技術人員的需求,加速企業數位轉型並提升競爭力,3,"No Code/Low Code平台不能完全取代專業技術人員,尤其在高度客製化或複雜邏輯的應用中。",
B03,下列何者最能表達 No Code / Low Code平台的主要特色?,需要撰寫大量程式碼,運用模板快速建立應用程式,僅供專業開發人員使用,只能製作靜態網站,2,"No Code/Low Code平台提供視覺化界面與模板,使用者可快速建立應用程式。",
B04,"關於 No Code平台,下列敘述何者較為準確?",已經完全取代傳統的AI開發模式,只適用於大型企業,是一種降低 AI技術複雜性和開發成本的新興方法,工具都具有完全相同的功能和效能,3,"No Code平台透過圖形化介面及預建模組,有效降低技術複雜性與開發成本。",
B05,"關於 No Code / Low Code平台,下列敘述何者較正確?",兩者完全相同,Low Code平台不需要任何程式設計知識,Low Code平台更適合開發靈活且可擴展的解決方案,No Code平台可以無限客製化,3,"Low Code平台適合具備基本程式知識的開發者,能進行客製化並具備較大的靈活性與擴展性。",
B06,下列哪一項不是No Code / Low Code平台在推動AI民主化過程中的挑戰?,使用者缺乏對AI的深層理解,可能引發模型偏差或誤用,需要加強人員相關教育和規範,提供昂貴的開發工具,4,"No Code / Low Code平台並非提供昂貴的開發工具,而是降低了開發門檻。",
B07,生成式 AI在金融業的應用不包括以下哪一項?,風險評估與管理,投資組合優化,自動化生成病歷,提供個人化投資建議,3,自動化生成病歷是生成式AI在醫療領域的應用。,
B08,"No Code 平台的設計目標是降低技術門檻,使哪一類使用者能夠開發應用程式,而無需撰寫程式碼?",技術專家,非技術背景的使用者,資深開發者,系統管理員,2,No Code平台主要讓沒有程式設計背景的人也能輕鬆構建應用程式。,
B09,"關於生成式 AI與 No Code / Low Code平台的應用,下列何者最不適合?",自動生成程式碼,自動化生成行銷文案,快速開發個人化 App,自動化生成法律判決,4,"自動化生成法律判決超出 No Code/Low Code平台的主要功能範疇,且法律文件需要專業知識。",
B10,"選擇No Code / Low Code平台時,下列何者為考慮功能與擴展性時最重要的因素?",平台的購買成本,平台的技術整合能力和自訂性,使用者的程式設計能力,平台的市場評價,2,技術整合能力和自訂性直接影響平台在實際應用中的彈性和滿足特定業務需求的能力。,
B11,下列何者是使用生成式 AI進行圖像生成時需要考慮的問題?,生成圖像的解析度,版權和合法性,模型的推論時間,以上皆是,4,生成圖像的解析度、版權與合法性以及模型的推論時間都是使用生成式AI進行圖像生成時需要考慮的重要問題。,
B12,學校教師如何引導學生正確使用生成式 AI工具?,不應使用 AI工具於教學場域,無限制地使用 AI工具,訂立清晰的使用規範並進行說明,僅鼓勵學生利用 AI完成課堂作業,3,"訂立清晰的使用規範並進行說明能幫助學生正確理解和使用AI工具,避免過度依賴或誤用。",
B13,下列哪一種技術方案適用於改善客戶體驗?,預測性維護工具,自然語言處理(NLP)和生成式回應模組,智慧排程系統,消費行為洞察模型,2,"自然語言處理和生成式回應模組能有效提升客服效率和客戶溝通品質,改善客戶體驗。",
B14,下列哪一種方式可以有效幫助現職員工提升 AI應用能力?,提高薪資來吸引 AI人才,安排跨部門交流和測試專案,減少員工的工作負擔,員工視需求選擇性自學 AI技術,2,"實務操作和跨部門交流有助於員工快速掌握AI技術和應用,效果比單純自學更好。",
B15,下列何者為企業導入AI技術後最直接的影響?,增加人力需求,提升生產力和效率,減少數據處理能力,降低市場競爭力,2,"AI技術最直接的影響是提升生產力和效率,尤其在自動化流程和數據分析方面。",
B16,下列哪一項技術是生成式AI的基礎?,決策樹模型,生成對抗網路,聚類演算法,隨機森林技術,2,"生成對抗網路(GAN)是生成式人工智慧的核心技術之一,用於生成逼真的數據。",
B17,下列何者是人工智慧未來發展中最迫切需要解決的挑戰?,計算資源的過剩,資料隱私與道德規範問題,人才培育與跨領域合作的不足,無法應用於小型企業場景,2,資料隱私保護和倫理規範的建立是AI技術進一步發展的關鍵挑戰。,
B18,"使用生成式 AI生成的內容時,應採取什麼措施以確保內容品質?",使用內容直接進行學術報告,適當標注引用來源,減少人工參與的審查過程,排除所有生成的資料,2,"適當標注引用來源是確保生成內容品質的重要措施,避免抄襲並尊重智慧財產權。",
B19,下列哪一項不是生成式 AI工具在使用體驗方面的優化方向?,提供更直觀的操作設計,支援自然語言指令,提供智慧化的參數調整建議,限制使用者自訂生成內容,4,限制使用者自訂生成內容與提升使用體驗的目標相悖。,
